Resort ID,NameResort
718,sattelegg-vorderthaleinsiedeln-willerzell
719,saxeten-pintli
720,schatzalp-strela
721,schilt-mollis
722,schloesslihang-st-gallen
723,schratten-fluehli
724,schwanden-sigriswil
725,schwefelberg-badmattelouigrat
726,schwellbrunn
727,seebodenalp-kuessnacht
728,selfranga-klosters
729,selital-schwarzenbuehl
730,sitzberg-fischingen
731,sollegg-appenzell
732,sommartel-le-locle
733,sous-le-mont-tavannes
734,springenboden
735,st-antoenien
736,st-cergue
737,staffelalp-zeglingen
738,steg-im-toesstal
739,sternenberg-schatzboel
740,stich-opfertshofen
741,sunnbueel-kandersteg
742,taesch
743,tanzboden-ebnat-kappel
744,tarasp
745,tectzinols-berguen
746,teleconthey-mayens-de-conthey
747,tenna
748,trachselwald
749,tramelan
750,trient
751,tristeli-st-margrethenberg
752,trogen
753,tschappinaurmein-heinzenberg
754,urnaesch-osteregg
755,urnerboden
756,valtgeva-sedrun
757,vicheres-liddes
758,voegelinsegg-speicher
759,vorderthal-skilift-waegital
760,walenstadtberg
761,wasen-im-emmental
762,wiesen-gruob
763,wildberg-schafbueel
764,wirzweli-dallenwil
765,wolzenalp-krummenau
766,zugerberg
767, Val Gardena (Gröden)
768,Madonna di Campiglio/Pinzolo/Folgàrida/Marilleva
769, Kronplatz (Plan de Corones)
770, Latemar – Obereggen/Pampeago/Predazzo
771, Klausberg – Skiworld Ahrntal
772, 3 Zinnen Dolomites – Helm/Stiergarten/Rotwand/Kreuzbergpass
773,. Alpe di Siusi (Seiser Alm)
774,Livigno
775,. Alta Badia
776, Belpiano (Schöneben)/Malga San Valentino (Haideralm)
777, Carezza
778, Gitschberg Jochtal
779,Ponte di Legno/Tonale/Presena Glacier/Temù (Pontedilegno-Tonale)
780, Speikboden – Skiworld Ahrntal
781, Passo San Pellegrino/Falcade
782, Belvedere/Col Rodella/Ciampac/Buffaure – Canazei/Campitello/Alba/Pozza di Fassa
783,Via Lattea – Sestriere/Sauze d’Oulx/San Sicario/Claviere/Montgenèvre
784,. Paganella – Andalo
